NS_SA_ID,NS_ETAB_ID,TE_STRUCTURE,CO_DEGRE_SPEC,CO_ANNEE_ETUDES,CO_OPTION,TE_INTITULE,DT_DEBUT,DT_FIN,DT_EXPIRATION,TE_STATUT,NS_PARAM_ID_SA,NS_OBJ_ID_DEGR_SPEC,NS_OBJ_ID_ANNEE_ETUDE,NS_OBJ_ID_SA,NS_PARAM_ID_STATUT
262,2665,Option de base simple,1 D2 G,1 D2 3 G,2123,LANGUE MODERNE II ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,49,105,1589,6030
263,2665,Option de base simple,1 D2 G,1 D2 3 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,49,105,1822,6030
266,2665,Option de base groupée,1 D2 P,1 D2 3 P,3102,BOIS,2014-09-01,9999-12-31,,En cours,6022,50,107,770,6030
267,2665,Option de base groupée,1 D2 P,1 D2 3 P,4301,BOULANGERIE-PATISSERIE,2014-09-01,9999-12-31,,En cours,6022,50,107,841,6030
268,2665,Option de base groupée,1 D2 P,1 D2 3 P,8304,COIFFURE,2014-09-01,9999-12-31,,En cours,6022,50,107,928,6030
270,2665,Option de base groupée,1 D2 TQ,1 D2 3 TQ,8120,TECHNIQUES SOCIALES ET D'ANIMATION,2014-09-01,9999-12-31,,En cours,6022,51,109,913,6030
276,2665,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
277,2665,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
278,2665,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
279,2665,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
280,2665,Option de base simple,1 D3 G,1 D3 5 G,2123,LANGUE MODERNE II ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1589,6030
281,2665,Option de base simple,1 D3 G,1 D3 5 G,2209,LANGUE MODERNE III ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1593,6030
282,2665,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
283,2665,Option de base simple,1 D3 G,1 D3 5 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,56,121,1822,6030
287,2665,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
