DGSP_OBJ_ID,NS_ETAB_ID,1E_OBTENIR_CEB
1 D1 1D                  ,2247,1e_obtenir_ceb
1 D1 1D                  ,2249,1e_obtenir_ceb
1 D1 1D                  ,2272,1e_obtenir_ceb
1 D1 1D                  ,2273,1e_obtenir_ceb
1 D1 1D                  ,2284,1e_obtenir_ceb
1 D1 1D                  ,2292,1e_obtenir_ceb
1 D1 1D                  ,2309,1e_obtenir_ceb
1 D1 1D                  ,2310,1e_obtenir_ceb
1 D1 1D                  ,2334,1e_obtenir_ceb
1 D1 1D                  ,2335,1e_obtenir_ceb
1 D1 1D                  ,2337,1e_obtenir_ceb
1 D1 1D                  ,2339,1e_obtenir_ceb
1 D1 1D                  ,2344,1e_obtenir_ceb
1 D1 1D                  ,2347,1e_obtenir_ceb
1 D1 1D                  ,2354,1e_obtenir_ceb
1 D1 1D                  ,2355,1e_obtenir_ceb
1 D1 1D                  ,2356,1e_obtenir_ceb
1 D1 1D                  ,2361,1e_obtenir_ceb
1 D1 1D                  ,2365,1e_obtenir_ceb
1 D1 1D                  ,2366,1e_obtenir_ceb
1 D1 1D                  ,2371,1e_obtenir_ceb
1 D1 1D                  ,2377,1e_obtenir_ceb
1 D1 1D                  ,2397,1e_obtenir_ceb
1 D1 1D                  ,2401,1e_obtenir_ceb
1 D1 1D                  ,2415,1e_obtenir_ceb
1 D1 1D                  ,2418,1e_obtenir_ceb
1 D1 1D                  ,2419,1e_obtenir_ceb
1 D1 1D                  ,2460,1e_obtenir_ceb
1 D1 1D                  ,2462,1e_obtenir_ceb
1 D1 1D                  ,2463,1e_obtenir_ceb
1 D1 1D                  ,2465,1e_obtenir_ceb
1 D1 1D                  ,2467,1e_obtenir_ceb
1 D1 1D                  ,2487,1e_obtenir_ceb
1 D1 1D                  ,2490,1e_obtenir_ceb
1 D1 1D                  ,2506,1e_obtenir_ceb
1 D1 1D                  ,2509,1e_obtenir_ceb
1 D1 1D                  ,2514,1e_obtenir_ceb
1 D1 1D                  ,2541,1e_obtenir_ceb
1 D1 1D                  ,2544,1e_obtenir_ceb
1 D1 1D                  ,2563,1e_obtenir_ceb
1 D1 1D                  ,2586,1e_obtenir_ceb
1 D1 1D                  ,2587,1e_obtenir_ceb
1 D1 1D                  ,2593,1e_obtenir_ceb
1 D1 1D                  ,2594,1e_obtenir_ceb
1 D1 1D                  ,2626,1e_obtenir_ceb
1 D1 1D                  ,2636,1e_obtenir_ceb
1 D1 1D                  ,2637,1e_obtenir_ceb
1 D1 1D                  ,2665,1e_obtenir_ceb
1 D1 1D                  ,2667,1e_obtenir_ceb
1 D1 1D                  ,2680,1e_obtenir_ceb
1 D1 1D                  ,2693,1e_obtenir_ceb
1 D1 1D                  ,2710,1e_obtenir_ceb
1 D1 1D                  ,2712,1e_obtenir_ceb
1 D1 1D                  ,2721,1e_obtenir_ceb
1 D1 1D                  ,2738,1e_obtenir_ceb
1 D1 1D                  ,2756,1e_obtenir_ceb
1 D1 1D                  ,2757,1e_obtenir_ceb
1 D1 1D                  ,2758,1e_obtenir_ceb
1 D1 1D                  ,2762,1e_obtenir_ceb
1 D1 1D                  ,2776,1e_obtenir_ceb
1 D1 1D                  ,2787,1e_obtenir_ceb
1 D1 1D                  ,2792,1e_obtenir_ceb
1 D1 1D                  ,2793,1e_obtenir_ceb
1 D1 1D                  ,2794,1e_obtenir_ceb
1 D1 1D                  ,2805,1e_obtenir_ceb
1 D1 1D                  ,2806,1e_obtenir_ceb
1 D1 1D                  ,2807,1e_obtenir_ceb
1 D1 1D                  ,2808,1e_obtenir_ceb
1 D1 1D                  ,2809,1e_obtenir_ceb
1 D1 1D                  ,2824,1e_obtenir_ceb
1 D1 1D                  ,2826,1e_obtenir_ceb
1 D1 1D                  ,2865,1e_obtenir_ceb
1 D1 1D                  ,2866,1e_obtenir_ceb
1 D1 1D                  ,2894,1e_obtenir_ceb
1 D1 1D                  ,2895,1e_obtenir_ceb
1 D1 1D                  ,2896,1e_obtenir_ceb
1 D1 1D                  ,2915,1e_obtenir_ceb
1 D1 1D                  ,2920,1e_obtenir_ceb
1 D1 1D                  ,2965,1e_obtenir_ceb
1 D1 1D                  ,2968,1e_obtenir_ceb
1 D1 1D                  ,2969,1e_obtenir_ceb
1 D1 1D                  ,2973,1e_obtenir_ceb
1 D1 1D                  ,2974,1e_obtenir_ceb
1 D1 1D                  ,2977,1e_obtenir_ceb
1 D1 1D                  ,2980,1e_obtenir_ceb
1 D1 1D                  ,2989,1e_obtenir_ceb
1 D1 1D                  ,2991,1e_obtenir_ceb
1 D1 1D                  ,2992,1e_obtenir_ceb
1 D1 1D                  ,2998,1e_obtenir_ceb
1 D1 1D                  ,2999,1e_obtenir_ceb
1 D1 1D                  ,3001,1e_obtenir_ceb
1 D1 1D                  ,3002,1e_obtenir_ceb
1 D1 1D                  ,3005,1e_obtenir_ceb
1 D1 1D                  ,3007,1e_obtenir_ceb
1 D1 1D                  ,3010,1e_obtenir_ceb
1 D1 1D                  ,3020,1e_obtenir_ceb
1 D1 1D                  ,3047,1e_obtenir_ceb
1 D1 1D                  ,3048,1e_obtenir_ceb
1 D1 1D                  ,3049,1e_obtenir_ceb
1 D1 1D                  ,3057,1e_obtenir_ceb
1 D1 1D                  ,3058,1e_obtenir_ceb
1 D1 1D                  ,3071,1e_obtenir_ceb
1 D1 1D                  ,3074,1e_obtenir_ceb
1 D1 1D                  ,3075,1e_obtenir_ceb
1 D1 1D                  ,3104,1e_obtenir_ceb
1 D1 1D                  ,3107,1e_obtenir_ceb
1 D1 1D                  ,3117,1e_obtenir_ceb
1 D1 1D                  ,3121,1e_obtenir_ceb
1 D1 1D                  ,3131,1e_obtenir_ceb
1 D1 1D                  ,3132,1e_obtenir_ceb
1 D1 1D                  ,3152,1e_obtenir_ceb
1 D1 1D                  ,3156,1e_obtenir_ceb
1 D1 1D                  ,3157,1e_obtenir_ceb
1 D1 1D                  ,3158,1e_obtenir_ceb
1 D1 1D                  ,3192,1e_obtenir_ceb
1 D1 1D                  ,3198,1e_obtenir_ceb
