"NS_ETAB_ID","CO_ETUDE_ID","TE_LIBL_CRT","CO_UNI_ID","DT_DEBUT","DT_FIN"
2824,PQ31 ,"1 D3 5 P                 ","112",2018-09-01,9999-12-31
2824,PQ32 ,"1 D3 6 P                 ","112",2018-09-01,9999-12-31
2824,PQ33B,"1 D3 7B P                ","112",2018-09-01,9999-12-31
2824,PQ33C,"1 D3 7C P                ","112",2018-09-01,9999-12-31
2824,TQC4 ,"1 DQ 4 TQ                ","112",2018-09-01,9999-12-31
2824,TQC4C,R DQ 4 TQ                ,"119",2018-09-01,9999-12-31
2824,TQ21 ,"1 D2 3 TQ                ","112",2018-09-01,9999-12-31
2824,TQ22 ,"1 D2 4 TQ                ","112",2018-09-01,9999-12-31
2824,TQ22R,"1 D2 4R TQ               ","112",2018-09-01,9999-12-31
2824,TQ3C ,"1 D3 3C TQ               ","112",2018-09-01,9999-12-31
2824,TQ31 ,"1 D3 5 TQ                ","112",2018-09-01,9999-12-31
2824,TQ32 ,"1 D3 6 TQ                ","112",2018-09-01,9999-12-31
2824,TQ33 ,"1 D3 7 TQ                ","112",2018-09-01,9999-12-31
2824,TT21 ,"1 D2 3 TT                ","112",2018-09-01,2019-08-31
2824,TT21 ,"1 D2 3 TT                ","112",2019-01-15,9999-12-31
2824,TT22 ,"1 D2 4 TT                ","112",2018-09-01,2019-08-31
2824,TT22 ,"1 D2 4 TT                ","112",2019-01-15,9999-12-31
2824,TT22R,"1 D2 4R TT               ","112",2018-09-01,2019-08-31
2824,TT22R,"1 D2 4R TT               ","112",2019-01-15,9999-12-31
2824,TT31 ,"1 D3 5 TT                ","112",2018-09-01,9999-12-31
2824,TT32 ,"1 D3 6 TT                ","112",2018-09-01,9999-12-31
2826,DASPA,DASPA                    ,"112",2019-09-01,2019-08-31
2826,GT11C,"1 D1 1C                  ","112",2017-09-01,9999-12-31
2826,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
2826,GT12C,"1 D1 2C                  ","112",2017-09-01,9999-12-31
2826,GT12S,"1 D1 2S                  ","112",2017-09-01,9999-12-31
2826,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
2826,GT21 ,"1 D2 3 G                 ","112",2017-09-01,9999-12-31
2826,GT22 ,"1 D2 4 G                 ","112",2017-09-01,9999-12-31
2826,GT31 ,"1 D3 5 G                 ","112",2016-09-01,2017-08-31
2826,GT31 ,"1 D3 5 G                 ","112",2017-09-01,9999-12-31
2826,GT32 ,"1 D3 6 G                 ","112",2016-09-01,2017-08-31
2826,GT32 ,"1 D3 6 G                 ","112",2017-09-01,9999-12-31
2826,GT33L,"1 D3 7L G                ","112",2016-09-01,2017-08-31
2826,GT33L,"1 D3 7L G                ","112",2017-09-01,9999-12-31
2826,GT33M,"1 D3 7M G                ","112",2016-09-01,2017-08-31
2826,GT33M,"1 D3 7M G                ","112",2017-09-01,9999-12-31
2826,GT33P,"1 D3 7PES                ","112",2016-09-01,2017-08-31
2826,GT33P,"1 D3 7PES                ","112",2017-09-01,9999-12-31
2826,GT33S,"1 D3 7S G                ","112",2016-09-01,2017-08-31
2826,GT33S,"1 D3 7S G                ","112",2017-09-01,9999-12-31
2826,PC4  ,"1 DQ 4 P                 ","112",2018-09-01,9999-12-31
2826,PC4C ,R DQ 4 P                 ,"119",2021-09-01,9999-12-31
2826,PC5  ,"1 DQ 5 P                 ","112",2019-09-01,9999-12-31
2826,PC5C ,R DQ 5 P                 ,"119",2021-09-01,9999-12-31
2826,PC6  ,"1 DQ 6 P                 ","112",2020-09-01,9999-12-31
2826,PC6C ,R DQ 6 P                 ,"119",2021-09-01,9999-12-31
2826,PQD2C,R DQ C2D P               ,"119",2021-09-01,9999-12-31
2826,PQI24,R D2 P 45                ,"119",2014-09-01,9999-12-31
